---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
At. num | Sp. Name      | Sp. Num. | El. Name   | Isoel. Seq. | Ground Shells (a) | Ground Level | Ionized Level     |      Ionization Energy (b) (eV)       | References
     29 | Cu XXVIII     |       28 | Copper     | He          | 1s2               | 1S0          | 1s 2S<1/2>        |        (11062.4310(16))               |            L12128
     29 | Cu XXIX       |       29 | Copper     | H           | 1s                | 2S<1/2>      |                   |        (11567.6120(40))               |             L7188
     30 | Zn I          |        1 | Zinc       | Zn          | [Ar].3d10.4s2     | 1S0          | 4s 2S<1/2>        |             9.3941988(22)             |             L9360
     30 | Zn II         |        2 | Zinc       | Cu          | [Ar].3d10.4s      | 2S<1/2>      | 3d10 1S<0>        |            17.96439(25)               |        L9171,L640
     30 | Zn III        |        3 | Zinc       | Ni          | [Ar].3d10         | 1S0          | 3d9 2D<5/2>       |            39.72330(12)               |         L9171,L65
     30 | Zn IV         |        4 | Zinc       | Co          | [Ar].3d9          | 2D<5/2>      | 3d8 3F<4>         |            59.573(19)                 |       L9171,L6389
     30 | Zn V          |        5 | Zinc       | Fe          | [Ar].3d8          | 3F<4>        | 3d7 4F<9/2>       |           [82.57(90)]                 |        L9171,L241
     30 | Zn VI         |        6 | Zinc       | Mn          | [Ar].3d7          | 4F<9/2>      | 3d6 5D<4>         |          [108.0(10)]                  |        L9171,L241
     30 | Zn VII        |        7 | Zinc       | Cr          | [Ar].3d6          | 5D<4>        | 3d5 6S<5/2>       |          [133.9(12)]                  |        L9171,L241
     30 | Zn VIII       |        8 | Zinc       | V           | [Ar].3d5          | 6S<5/2>      | 3d4 5D<0>         |          [173.9(17)]                  |     L9171,L241c99
     30 | Zn IX         |        9 | Zinc       | Ti          | [Ar].3d4          | 5D0          | 3d3 4F<3/2>       |          [203.0(20)]                  |        L9171,L241
     30 | Zn X          |       10 | Zinc       | Sc          | [Ar].3d3          | 4F<3/2>      | 3d2 3F<2>         |          (238.0(22))                  |          L8672c99
     30 | Zn XI         |       11 | Zinc       | Ca          | [Ar].3d2          | 3F<2>        | 3d 2D<3/2>        |          [274.38(50)]                 |           L241c99
     30 | Zn XII        |       12 | Zinc       | K           | [Ar].3d           | 2D<3/2>      | 3p6 1S<0>         |          [310.8(10)]                  |             L9171
     30 | Zn XIII       |       13 | Zinc       | Ar          | [Ne].3s2.3p6      | 1S0          | 3p5 2P*<3/2>      |          [417.6(12)]                  |            L11770
     30 | Zn XIV        |       14 | Zinc       | Cl          | [Ne].3s2.3p5      | 2P*<3/2>     | 3p4 3P<2>         |          [453.37(30)]                 |            L11770
     30 | Zn XV         |       15 | Zinc       | S           | [Ne].3s2.3p4      | 3P<2>        | 3p3 4S*<3/2>      |          [490.63(60)]                 |            L11770
     30 | Zn XVI        |       16 | Zinc       | P           | [Ne].3s2.3p3      | 4S*<3/2>     | 3p2 3P<0>         |          [540.0(10)]                  |            L11770
     30 | Zn XVII       |       17 | Zinc       | Si          | [Ne].3s2.3p2      | 3P0          | 3p 2P*<1/2>       |          [577.8(13)]                  |            L11770
     30 | Zn XVIII      |       18 | Zinc       | Al          | [Ne].3s2.3p       | 2P*<1/2>     | 3s2 1S<0>         |          [613.3(24)]                  |            L11770
     30 | Zn XIX        |       19 | Zinc       | Mg          | [Ne].3s2          | 1S0          | 3s 2S<1/2>        |          [697.51(70)]                 |            L11770
     30 | Zn XX         |       20 | Zinc       | Na          | [Ne].3s           | 2S<1/2>      | 2p6 1S<0>         |          [737.366(21)]                |            L11770
     30 | Zn XXI        |       21 | Zinc       | Ne          | 1s2.2s2.2p6       | 1S0          | 2p5 2P*<3/2>      |         [1846.8(10)]                  |            L11770
     30 | Zn XXII       |       22 | Zinc       | F           | 1s2.2s2.2p5       | 2P*<3/2>     | 2p4 3P<2>         |         [1961(3)]                     |            L11770
     30 | Zn XXIII      |       23 | Zinc       | O           | 1s2.2s2.2p4       | 3P<2>        | 2p3 4S*<3/2>      |         [2085(5)]                     |            L11770
     30 | Zn XXIV       |       24 | Zinc       | N           | 1s2.2s2.2p3       | 4S*<3/2>     | 2p2 3P<0>         |         [2214(8)]                     |            L11770
     30 | Zn XXV        |       25 | Zinc       | C           | 1s2.2s2.2p2       | 3P0          | 2p 2P*<1/2>       |         [2358.0(16)]                  |            L11770
     30 | Zn XXVI       |       26 | Zinc       | B           | 1s2.2s2.2p        | 2P*<1/2>     | 2s2 1S<0>         |         [2491.5(11)]                  |            L11770
     30 | Zn XXVII      |       27 | Zinc       | Be          | 1s2.2s2           | 1S0          | 2s 2S<1/2>        |         [2669.9(25)]                  |            L11770
     30 | Zn XXVIII     |       28 | Zinc       | Li          | 1s2.2s            | 2S<1/2>      | 1s2 1S<0>         |         (2781.9957(70))               |         L16264c99
     30 | Zn XXIX       |       29 | Zinc       | He          | 1s2               | 1S0          | 1s 2S<1/2>        |        (11864.9390(19))               |            L12128
     30 | Zn XXX        |       30 | Zinc       | H           | 1s                | 2S<1/2>      |                   |        (12388.9280(50))               |             L7188
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
