% Taken from CHIANTI DB version 7.0
%atomic_number ion_number(of destination ion) energy in cm^-1
    1    1        109678.77370
    2    1        198310.77227
    2    2        438908.88630
    3    1         43487.15000
    3    2        610079.00000
    3    3        987661.02700
    4    1         75192.64000
    4    2        146882.86000
    4    3       1241242.00000
    4    4       1756018.82400
    5    1         66928.10000
    5    2        202887.40000
    5    3        305931.10000
    5    4       2092001.40000
    5    5       2744107.87000
    6    1         90820.42000
    6    2        196664.70000
    6    3        386241.00000
    6    4        520178.40000
    6    5       3162395.00000
    6    6       3952061.52000
    7    1        117225.40000
    7    2        238750.50000
    7    3        382703.80000
    7    4        624866.00000
    7    5        789537.20000
    7    6       4452745.00000
    7    7       5380089.30000
    8    1        109837.02000
    8    2        283240.00000
    8    3        443086.00000
    8    4        624383.80000
    8    5        918657.00000
    8    6       1114008.00000
    8    7       5963114.00000
    8    8       7028393.60000
    9    1        140524.50000
    9    2        282058.60000
    9    3        505777.00000
    9    4        702830.00000
    9    5        921430.00000
    9    6       1267606.00000
    9    7       1493632.00000
    9    8       7693778.00000
    9    9       8897240.30000
   10    1        173929.70000
   10    2        330391.00000
   10    3        511800.00000
   10    4        783300.00000
   10    5       1018000.00000
   10    6       1273800.00000
   10    7       1671792.00000
   10    8       1928462.00000
   10    9       9644957.00000
   10   10      10986873.00000
   11    1         41449.44000
   11    2        381390.20000
   11    3        577654.00000
   11    4        797800.00000
   11    5       1116300.00000
   11    6       1388750.00000
   11    7       1681700.00000
   11    8       2131300.00000
   11    9       2418570.00000
   11   10      11816996.00000
   11   11      13297671.60000
   12    1         61671.02000
   12    2        121267.61000
   12    3        646402.00000
   12    4        881285.00000
   12    5       1139420.00000
   12    6       1506300.00000
   12    7       1814900.00000
   12    8       2145100.00000
   12    9       2644700.00000
   12   10       2964060.00000
   12   11      14209908.00000
   12   12      15829955.00000
   13    1         48278.37000
   13    2        151862.70000
   13    3        229445.70000
   13    4        967804.00000
   13    5       1240684.00000
   13    6       1536300.00000
   13    7       1949900.00000
   13    8       2295900.00000
   13    9       2662650.00000
   13   10       3216100.00000
   13   11       3564960.00000
   13   12      16824529.00000
   13   13      18584144.00000
   14    1         65747.76000
   14    2        131838.14000
   14    3        270139.30000
   14    4        364093.10000
   14    5       1345070.00000
   14    6       1655590.00000
   14    7       1988000.00000
   14    8       2448200.00000
   14    9       2832000.00000
   14   10       3237300.00000
   14   11       3842100.00000
   14   12       4221670.00000
   14   13      19660800.00000
   14   14      21560658.00000
   15    1         84580.83000
   15    2        159451.50000
   15    3        243600.70000
   15    4        414922.80000
   15    5        524462.90000
   15    6       1777820.00000
   15    7       2125800.00000
   15    8       2497100.00000
   15    9       3001400.00000
   15   10       3423200.00000
   15   11       3867100.00000
   15   12       4523000.00000
   15   13       4934000.00000
   15   14      22719920.00000
   15   15      24759942.50000
   16    1         83559.10000
   16    2        188232.70000
   16    3        280600.00000
   16    4        380870.00000
   16    5        585514.10000
   16    6        710194.70000
   16    7       2266000.00000
   16    8       2651500.00000
   16    9       3061300.00000
   16   10       3609000.00000
   16   11       4071300.00000
   16   12       4552500.00000
   16   13       5260000.00000
   16   14       5702400.00000
   16   15      26001513.00000
   16   16      28182526.00000
   17    1        104591.00000
   17    2        192070.00000
   17    3        319500.00000
   17    4        431226.00000
   17    5        547000.00000
   17    6        782600.00000
   17    7        921093.00000
   17    8       2809100.00000
   17    9       3232700.00000
   17   10       3674900.00000
   17   11       4268900.00000
   17   12       4774000.00000
   17   13       5293800.00000
   17   14       6047200.00000
   17   15       6526714.00000
   17   16      29507666.00000
   17   17      31828900.00000
   18    1        127109.80000
   18    2        222848.20000
   18    3        328600.00000
   18    4        482400.00000
   18    5        605100.00000
   18    6        734040.00000
   18    7       1002730.00000
   18    8       1157056.00000
   18    9       3407300.00000
   18   10       3860900.00000
   18   11       4347000.00000
   18   12       4986600.00000
   18   13       5533800.00000
   18   14       6095500.00000
   18   15       6894200.00000
   18   16       7407274.00000
   18   17      33236829.00000
   18   18      35699780.00000
   19    1         35009.81400
   19    2        255100.00000
   19    3        369450.00000
   19    4        491300.00000
   19    5        666700.00000
   19    6        802000.00000
   19    7        948200.00000
   19    8       1249200.00000
   19    9       1418063.00000
   19   10       4063000.00000
   19   11       4555000.00000
   19   12       5077000.00000
   19   13       5764000.00000
   19   14       6345000.00000
   19   15       6945000.00000
   19   16       7810000.00000
   19   17       8344200.00000
   19   18      37188200.00000
   19   19      39795750.00000
   20    1         49305.95000
   20    2         95751.87000
   20    3        410642.00000
   20    4        542600.00000
   20    5        681600.00000
   20    6        877400.00000
   20    7       1026000.00000
   20    8       1187600.00000
   20    9       1520640.00000
   20   10       1704047.00000
   20   11       4774000.00000
   20   12       5301000.00000
   20   13       5861000.00000
   20   14       6595000.00000
   20   15       7215000.00000
   20   16       7860000.00000
   20   17       8770000.00000
   20   18       9338000.00000
   20   19      41366000.00000
   20   20      44117410.00000
   21    1         52922.00000   
   21    2        103237.10000
   21    3        199677.37000
   21    4        592732.00000
   21    5        739500.00000
   21    6        892700.00000
   21    7       1113000.00000
   21    8       1275000.00000
   21    9       1452000.00000
   21   10       1816200.00000
   21   11       2014760.00000
   21   12       5543900.00000
   21   13       6103000.00000
   21   14       6701000.00000
   21   15       7481000.00000
   21   16       8140000.00000
   21   17       8820000.00000
   21   18       9780000.00000
   21   19      10388200.00000
   21   20      45770000.00000
   21   21      48665520.00000
   22    1         55010.00000
   22    2        109494.00000
   22    3        221735.60000
   22    4        348973.30000
   22    5        800900.00000
   22    6        964100.00000
   22    7       1136000.00000
   22    8       1374000.00000
   22    9       1549000.00000
   22   10       1741500.00000
   22   11       2137900.00000
   22   12       2351080.00000
   22   13       6354300.00000
   22   14       6961000.00000
   22   15       7597000.00000
   22   16       8420000.00000
   22   17       9120000.00000
   22   18       9850000.00000
   22   19      10860000.00000
   22   20      11497000.00000
   22   21      50401000.00000
